label	element_name	interpro_id
137	Glycoside hydrolase family 18, catalytic domain	IPR001223
138	Lactate/malate dehydrogenase, N-terminal	IPR001236
139	N-(5'phosphoribosyl) anthranilate isomerase (PRAI) domain	IPR001240
140	Exoribonuclease, phosphorolytic domain 1	IPR001247
141	CRAL-TRIO lipid binding domain	IPR001251
142	Serine proteases, trypsin domain	IPR001254
143	Metallo-beta-lactamase	IPR001279
144	Peptidase C2, calpain, catalytic domain	IPR001300
145	Class II aldolase/adducin N-terminal	IPR001303
146	C-type lectin-like	IPR001304
147	CARD domain	IPR001315
148	SIS domain	IPR001347
149	Small ribosomal subunit protein uS3, C-terminal	IPR001351
150	Homeodomain	IPR001356
151	BRCT domain	IPR001357
152	Adenosine deaminase domain	IPR001365
153	Peptidase S9, prolyl oligopeptidase, catalytic domain	IPR001375
154	Cro/C1-type helix-turn-helix domain	IPR001387
155	Superoxide dismutase, copper/zinc binding domain	IPR001424
156	Transcription elongation factor, GreA/GreB, C-terminal	IPR001437
157	SH3 domain	IPR001452
158	MoaB/Mog domain	IPR001453
159	TusA-like domain	IPR001455
160	Penicillin-binding protein, transpeptidase	IPR001460
161	Beta-lactamase-related	IPR001466
162	AP2/ERF domain	IPR001471
163	PDZ domain	IPR001478
164	Bulb-type lectin domain	IPR001480
165	Bromodomain	IPR001487
166	Importin-beta, N-terminal domain	IPR001494
167	SOCS box domain	IPR001496
168	Zona pellucida domain	IPR001507
169	Glycoside hydrolase, family 5	IPR001547
170	Integrase, catalytic core	IPR001584
171	Peptidase M12B, ADAM/reprolysin	IPR001590
172	Myosin head, motor domain-like	IPR001609
173	DnaJ domain	IPR001623
174	Sema domain	IPR001627
175	Zinc finger, nuclear hormone receptor-type	IPR001628
176	Solute-binding protein family 3/N-terminal domain of MltF	IPR001638
177	DNA-binding HTH domain, TetR-type	IPR001647
178	Helicase, C-terminal domain-like	IPR001650
179	Sterile alpha motif domain	IPR001660
180	GMP synthase, C-terminal	IPR001674
181	SAM-dependent methyltransferase RsmB-F/NOP2-type domain	IPR001678
182	Phox homology	IPR001683
183	Calponin homology domain	IPR001715
184	Kinesin motor domain	IPR001752
185	Orotidine 5'-phosphate decarboxylase domain	IPR001754
186	Disintegrin domain	IPR001762
187	Rhodanese-like domain	IPR001763
188	Glycoside hydrolase, family 3, N-terminal	IPR001764
189	Fork head domain	IPR001766
190	Zinc finger, LIM-type	IPR001781
191	Signal transduction response regulator, receiver domain	IPR001789
192	Laminin G domain	IPR001791
193	Acylphosphatase-like domain	IPR001792
194	Dihydrofolate reductase domain	IPR001796
195	F-box domain	IPR001810
196	Chemokine interleukin-8-like domain	IPR001811
197	Transforming growth factor-beta, C-terminal	IPR001839
198	Zinc finger, RING-type	IPR001841
199	Pleckstrin homology domain	IPR001849
200	Beta-defensin-like domain	IPR001855
201	OmpR/PhoB-type DNA-binding domain	IPR001867
202	B30.2/SPRY domain	IPR001870
203	Zinc finger, RanBP2-type	IPR001876
204	Zinc finger, CCHC-type	IPR001878
205	GPCR, family 2, extracellular hormone receptor domain	IPR001879
206	EGF-like calcium-binding domain	IPR001881
207	Ras guanine-nucleotide exchange factors catalytic domain	IPR001895
208	Ribonuclease II/R	IPR001900
209	Krueppel-associated box	IPR001909
210	Small ribosomal subunit protein uS4, N-terminal	IPR001912
211	PPM-type phosphatase-like domain	IPR001932
212	UVR domain	IPR001943
213	Large ribosomal subunit protein eL40 domain	IPR001975
214	Phosphotransferase system, IIB component, type 1	IPR001996
215	Haem peroxidase	IPR002016
216	Carboxylesterase, type B	IPR002018
217	Pectate lyase	IPR002022
218	von Willebrand factor, type A	IPR002035
219	EF-hand domain	IPR002048
220	Laminin-type EGF domain	IPR002049
221	Cold-shock protein Csp, DNA-binding	IPR002059
222	Alpha crystallin/Hsp20 domain	IPR002068
223	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain	IPR002073
224	RNA polymerase sigma factor 54 interaction domain	IPR002078
225	MATH/TRAF domain	IPR002083
226	Integrase, catalytic domain	IPR002104
227	Cytidine and deoxycytidylate deaminase domain	IPR002125
228	Cadherin-like	IPR002126
229	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	IPR002130
230	Ribonuclease H domain	IPR002156
231	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain	IPR002181
232	NB-ARC	IPR002182
233	DNA binding HTH domain, Fis-type	IPR002197
234	DNA topoisomerase, type IIA, domain A	IPR002205
235	Pancreatic trypsin inhibitor Kunitz domain	IPR002223
236	Aminoacyl-tRNA synthetase, class Ia	IPR002300
237	Phenylalanyl-tRNA synthetase	IPR002319
238	Kazal domain	IPR002350
239	V-ATPase proteolipid subunit C-like domain	IPR002379
240	5'-3' exonuclease	IPR002421
241	Cytochrome c oxidase subunit II-like C-terminal	IPR002429
242	Dipeptidylpeptidase IV, N-terminal domain	IPR002469
243	Carbamoyl-phosphate synthase small subunit, N-terminal domain	IPR002474
244	Peptidoglycan binding-like	IPR002477
245	Transcription factor, K-box	IPR002487
246	Phosphoadenosine phosphosulphate reductase	IPR002500
247	FtsK domain	IPR002543
248	tRNA-binding domain	IPR002547
249	Clathrin/coatomer adaptor, adaptin-like, N-terminal	IPR002553
250	Flavin reductase like domain	IPR002563
251	Peptide methionine sulphoxide reductase MsrA domain	IPR002569
252	Peptide methionine sulphoxide reductase MrsB domain	IPR002579
253	CobQ/CobB/MinD/ParA nucleotide binding domain	IPR002586
254	Macro domain	IPR002589
255	Smr domain	IPR002625
256	Cobalamin-independent methionine synthase MetE, C-terminal/archaeal	IPR002629
257	STAS domain	IPR002645
258	Poly A polymerase, head domain	IPR002646
259	RimM, N-terminal	IPR002676
260	Nascent polypeptide-associated complex NAC domain	IPR002715
261	Glycoside hydrolase family 3 C-terminal domain	IPR002772
262	TRAM domain	IPR002792
263	NIF system FeS cluster assembly, NifU, N-terminal	IPR002871
264	Gnk2-homologous domain	IPR002902
265	ACT domain	IPR002912
266	Amine oxidase	IPR002937
267	Chaperone DnaJ, C-terminal	IPR002939
268	RNA-binding S4 domain	IPR002942
269	Tudor domain	IPR002999
270	Tubulin/FtsZ, GTPase domain	IPR003008
271	GAF domain	IPR003018
272	S1 domain	IPR003029
273	SAP domain	IPR003034
274	PAZ domain	IPR003100
275	Lon protease, N-terminal domain	IPR003111
276	WH2 domain	IPR003124
277	Regulator of K+ conductance, N-terminal	IPR003148
278	SCAN domain	IPR003309
279	B3 DNA binding domain	IPR003340
280	JmjC domain	IPR003347
281	RecF/RecN/SMC, N-terminal	IPR003395
282	ABC transporter-like, ATP-binding domain	IPR003439
283	NAC domain	IPR003441
284	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	IPR003526
285	Helix-hairpin-helix DNA-binding motif, class 1	IPR003583
286	Neurexin/syndecan/glycophorin C	IPR003585
287	Hint domain C-terminal	IPR003586
288	AAA+ ATPase domain	IPR003593
289	Histidine kinase/HSP90-like ATPase domain	IPR003594
290	Immunoglobulin domain subtype	IPR003599
291	Matrin/U1-C-like, C2H2-type zinc finger	IPR003604
292	HD/PDEase domain	IPR003607
293	U-box domain	IPR003613
294	OAR domain	IPR003654
295	WRKY domain	IPR003657
296	HAMP domain	IPR003660
297	Flavodoxin-like fold	IPR003680
298	Cyanate lyase, C-terminal	IPR003712
299	CoA-binding	IPR003781
300	MIF4G-like, type 3	IPR003890
301	Transcription factor CBF/NF-Y/archaeal histone domain	IPR003958
302	Fibronectin type III	IPR003961
303	Myosin, N-terminal, SH3-like	IPR004009
304	UreE urease accessory, N-terminal	IPR004029
305	Ribosomal protein eL8/eL30/eS12/Gadd45	IPR004038
306	Glutathione S-transferase, N-terminal	IPR004045
307	K Homology domain	IPR004087
308	Methyl-accepting chemotaxis protein (MCP) signalling domain	IPR004089
309	TGS	IPR004095
310	DHHA2 domain	IPR004097
311	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	IPR004099
312	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain	IPR004100
313	Mur ligase, C-terminal	IPR004101
314	THUMP domain	IPR004114
315	Signal recognition particle, SRP54 subunit, M-domain	IPR004125
316	ABC1 atypical kinase-like domain	IPR004147
317	BAR domain	IPR004148
318	Anticodon-binding	IPR004154
319	Translation elongation factor EFTu/EF1A, C-terminal	IPR004160
320	Peripheral subunit-binding domain	IPR004167
321	Clp, repeat (R) domain	IPR004176
322	GRAM domain	IPR004182
323	Phenylalanine-tRNA ligase, class II, N-terminal	IPR004188
324	Tim10-like	IPR004217
325	FCP1 homology domain	IPR004274
326	Frog antimicrobial peptide, propeptide	IPR004275
327	SPX domain	IPR004331
328	Aminoacyl-tRNA synthetase, class II (D/K/N)	IPR004364
329	Cyclin, C-terminal domain	IPR004367
330	YjeF N-terminal domain	IPR004443
331	Methionyl-tRNA synthetase, beta subunit, C-terminal	IPR004495
332	Phosphopantetheine-protein transferase domain	IPR004568
333	Molybdenum-pterin binding domain	IPR004606
334	Cytidyltransferase-like domain	IPR004821
335	Basic-leucine zipper domain	IPR004827
336	Aminotransferase, class I/classII, large domain	IPR004839
337	Amino acid permease/ SLC12A domain	IPR004841
338	Winged helix-turn-helix transcription repressor, HrcA DNA-binding domain	IPR005104
339	Aspartate/homoserine dehydrogenase, NAD-binding	IPR005106
340	Nitrite/Sulfite reductase ferredoxin-like domain	IPR005117
341	Ferrodoxin-fold anticodon-binding domain	IPR005121
342	Oxoglutarate/iron-dependent dioxygenase domain	IPR005123
343	Endonuclease/exonuclease/phosphatase	IPR005135
344	Peptide chain release factor	IPR005139
345	eRF1 domain 1/Pelota-like	IPR005140
346	eRF1 domain 2	IPR005141
347	eRF1 domain 3	IPR005142
348	ATP-cone domain	IPR005144
349	B3/B4 tRNA-binding domain	IPR005146
350	tRNA synthetase, B5-domain	IPR005147
351	Arginyl tRNA synthetase N-terminal domain	IPR005148
352	Transporter-associated domain	IPR005170
353	Glutamate-ammonia ligase adenylyltransferase, repeated domain	IPR005190
354	Small ribosomal subunit protein uS5, C-terminal	IPR005324
355	Histidine kinase domain	IPR005467
356	Transketolase, N-terminal	IPR005474
357	Transketolase-like, pyrimidine-binding domain	IPR005475
358	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	IPR005479
359	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	IPR005480
360	Translation elongation factor EFG/EF2, domain IV	IPR005517
361	Septum formation inhibitor MinC, C-terminal	IPR005526
362	Autotransporter beta-domain	IPR005546
363	Cell division protein FtsQ/DivIB, C-terminal	IPR005548
364	Pesticidal crystal protein, domain I	IPR005639
365	Organic solvent tolerance-like, N-terminal	IPR005653
366	Formyl transferase, C-terminal	IPR005793
367	Cytochrome b/b6, N-terminal domain	IPR005797
368	Cytochrome b/b6, C-terminal	IPR005798
369	ATP-citrate synthase/succinyl-CoA ligase, C-terminal domain	IPR005811
370	Linker histone H1/H5, domain H15	IPR005818
371	YSIRK Gram-positive signal peptide	IPR005877
372	UspA	IPR006016
373	PTB/PI domain	IPR006020
374	Peptidase, metallopeptidase	IPR006026
375	NusB/RsmB/TIM44	IPR006027
376	Regulator of K+ conductance, C-terminal	IPR006037
377	Alpha-amylase/branching enzyme, C-terminal all beta	IPR006048
378	Tumour necrosis factor domain	IPR006052
379	Threonylcarbamoyl-AMP synthase-like domain	IPR006070
380	Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic	IPR006075
381	FAD dependent oxidoreductase	IPR006076
382	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, C-terminal	IPR006096
383	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase, dimerisation domain	IPR006097
384	Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich	IPR006102
385	Glycoside hydrolase family 2, catalytic domain	IPR006103
386	Glycosyl hydrolases family 2, sugar binding domain	IPR006104
387	3-hydroxyacyl-CoA dehydrogenase, C-terminal	IPR006108
388	Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal	IPR006109
389	6-phosphogluconate dehydrogenase, NADP-binding	IPR006115
390	Heavy metal-associated domain, HMA	IPR006121
391	Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain	IPR006131
392	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding	IPR006132
393	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	IPR006139
394	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	IPR006140
395	Pseudouridine synthase, RsuA/RluA-like	IPR006145
396	Cobalamin (vitamin B12)-binding domain	IPR006158
397	GTP1/OBG domain	IPR006169
398	TOPRIM domain	IPR006171
399	3-hydroxyacyl-CoA dehydrogenase, NAD binding	IPR006176
400	Aminoacyl-tRNA synthetase, class II	IPR006195
401	RNA-binding domain, S1, IF1 type	IPR006196
402	LexA repressor, DNA-binding domain	IPR006199
403	GHMP kinase N-terminal domain	IPR006204
404	DAHP synthetase I/KDSA	IPR006218
405	Aminomethyltransferase, folate-binding domain	IPR006222
406	Uroporphyrin-III C-methyltransferase	IPR006366
407	FBD domain	IPR006566
408	TLDc domain	IPR006571
409	VPS10	IPR006581
410	ADAM, cysteine-rich domain	IPR006586
411	CTLH, C-terminal LisH motif	IPR006595
412	Prolyl 4-hydroxylase, alpha subunit	IPR006620
413	TRAM/LAG1/CLN8 homology domain	IPR006634
414	Elp3/MiaA/NifB-like, radical SAM core domain	IPR006638
415	SprT-like	IPR006640
416	NusG-like, N-terminal	IPR006645
417	OmpA-like domain	IPR006665
418	Cyclin, N-terminal	IPR006671
419	HD domain	IPR006674
420	Amidohydrolase-related	IPR006680
421	Fatty acid hydroxylase	IPR006694
422	Casparian strip membrane protein domain	IPR006702
423	Translation initiation factor IF-2, N-terminal	IPR006847
424	Zinc finger, Sec23/Sec24-type	IPR006895
425	Sec23/Sec24, helical domain	IPR006900
426	AstE/AspA barrel-sandwich hybrid domain	IPR007036
427	RNA polymerase Rpb1, domain 3	IPR007066
428	RNA polymerase Rpb1, domain 1	IPR007080
429	RNA polymerase Rpb1, domain 5	IPR007081
430	RNA polymerase Rpb1, domain 4	IPR007083
431	Immunoglobulin-like domain	IPR007110
432	NACHT nucleoside triphosphatase	IPR007111
433	Expansin, cellulose-binding-like domain	IPR007117
434	Histone H2A/H2B/H3	IPR007125
435	Antibiotic biosynthesis monooxygenase domain	IPR007138
436	TolB, N-terminal	IPR007195
437	Radical SAM	IPR007197
438	4Fe-4S domain	IPR007202
439	Lipid/polyisoprenoid-binding, YceI-like	IPR007372
440	MukB, N-terminal domain	IPR007406
441	ZipA, C-terminal FtsZ-binding domain	IPR007449
442	ApaG domain	IPR007474
443	Helicase-associated domain	IPR007502
444	RNA polymerase sigma-70 region 2	IPR007627
445	DNA mismatch repair protein MutS-like, N-terminal	IPR007695
446	DNA mismatch repair protein MutS, core	IPR007696
447	ASXL, HARE-HTH domain	IPR007759
448	Methyltransferase small domain	IPR007848
449	DNA mismatch repair protein MutS, connector domain	IPR007860
450	Peptidase M16, C-terminal	IPR007863
451	Urease accessory protein UreE, C-terminal domain	IPR007864
452	Aminopeptidase P, N-terminal	IPR007865
453	Glucose-methanol-choline oxidoreductase, C-terminal	IPR007867
454	Septum formation inhibitor MinC, N-terminal	IPR007874
455	Guanylate kinase/L-type calcium channel beta subunit	IPR008145
456	Glutamine synthetase, catalytic domain	IPR008146
457	Glutamine synthetase, N-terminal domain	IPR008147
458	WAP-type 'four-disulfide core' domain	IPR008197
459	Marvel domain	IPR008253
460	Flavodoxin/nitric oxide synthase	IPR008254
461	Peptidase S16, Lon proteolytic domain	IPR008269
462	PEP-utilising enzyme, mobile domain	IPR008279
463	Ferritin/DPS protein domain	IPR008331
464	CsbD-like domain	IPR008462
465	RuvB C-terminal winged helix domain	IPR008823
466	RuvB-like P-loop domain	IPR008824
467	DALR anticodon binding	IPR008909
468	Elongation factor G, domain III	IPR009022
469	GOLD domain	IPR009038
470	Cytochrome c-like domain	IPR009056
471	High mobility group box domain	IPR009071
472	Co-chaperone HscB, C-terminal oligomerisation domain	IPR009073
473	Phosphopantetheine binding ACP domain	IPR009081
474	Peptidase S8 propeptide/proteinase inhibitor I9	IPR010259
475	Global transcriptional regulator CodY, N-terminal	IPR010312
476	Molybdenum cofactor biosynthesis protein A-like, twitch domain	IPR010505
477	Zinc finger, ClpX C4-type	IPR010603
478	Zinc finger, FPG/IleRS-type	IPR010663
479	Biotin and thiamin synthesis-associated domain	IPR010722
480	Class I myosin tail homology domain	IPR010926
481	SMCs flexible hinge	IPR010935
482	Glutathione S-transferase, C-terminal-like	IPR010987
483	Arrestin-like, N-terminal	IPR011021
484	Arrestin C-terminal-like domain	IPR011022
485	CRAL/TRIO, N-terminal domain	IPR011074
486	HPr kinase/phosphorylase, C-terminal	IPR011104
487	Holliday junction DNA helicase RuvA, C-terminal	IPR011114
488	MHC class I-like antigen recognition-like	IPR011161
489	Luciferase-like domain	IPR011251
490	RNA polymerase, alpha subunit, C-terminal	IPR011260
491	DNA-directed RNA polymerase, RpoA/D/Rpb3-type	IPR011263
492	DNA mismatch repair MutH/Type II restriction enzyme Sau3AI	IPR011337
493	ABC transporter type 1, transmembrane domain	IPR011527
494	NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain	IPR011538
495	Pyridoxamine 5'-phosphate oxidase, N-terminal	IPR011576
496	Myc-type, basic helix-loop-helix (bHLH) domain	IPR011598
497	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal	IPR011601
498	Methylglyoxal synthase-like domain	IPR011607
499	Carbohydrate kinase PfkB	IPR011611
500	BTB/Kelch-associated	IPR011705
501	Bacterial DNA polymerase III, alpha subunit, NTPase domain	IPR011708
502	DEAD-box helicase, OB fold	IPR011709
503	GntR, C-terminal	IPR011711
504	Cytochrome C oxidase subunit II, transmembrane domain	IPR011759
505	ATP-grasp fold	IPR011761
506	Acetyl-coenzyme A carboxyltransferase, N-terminal	IPR011762
507	Acetyl-coenzyme A carboxyltransferase, C-terminal	IPR011763
508	RfaE bifunctional protein, domain I	IPR011913
509	Cytidylate kinase domain	IPR011994
510	Thiamine pyrophosphate enzyme, central domain	IPR012000
511	Malic enzyme, N-terminal domain	IPR012301
512	Hemerythrin-like	IPR012312
513	Crp-type HTH domain	IPR012318
514	Chalcone/stilbene synthase, C-terminal	IPR012328
515	DmpG-like communication	IPR012425
516	Frog antimicrobial peptide, brevinin-1 type	IPR012520
517	Frog antimicrobial peptide, brevinin-2/esculentin type	IPR012521
518	Small ribosomal subunit protein uS15, N-terminal	IPR012606
519	tRNA(Ile)-lysidine synthase, N-terminal	IPR012795
520	Lysidine-tRNA(Ile) synthetase, C-terminal	IPR012796
521	Threonyl/alanyl tRNA synthetase, SAD	IPR012947
522	Berberine/berberine-like	IPR012951
523	NLE	IPR012972
524	Sec23/Sec24 beta-sandwich	IPR012990
525	Phosphotransferase system, EIIC component, type 1	IPR013013
526	Xylose isomerase-like, TIM barrel domain	IPR013022
527	Amino acid transporter, transmembrane domain	IPR013057
528	Zinc finger C2H2-type	IPR013087
529	Connexin, N-terminal	IPR013092
530	Alpha/beta hydrolase fold-3	IPR013094
531	Immunoglobulin I-set	IPR013098
532	Pyrimidine nucleoside phosphorylase, C-terminal	IPR013102
533	Immunoglobulin V-set domain	IPR013106
534	Histidine biosynthesis HisG, C-terminal	IPR013115
535	Ketol-acid reductoisomerase, N-terminal	IPR013116
536	Mannitol dehydrogenase, C-terminal	IPR013118
537	RNA 2-O ribose methyltransferase, substrate binding	IPR013123
538	Mannitol dehydrogenase, N-terminal	IPR013131
539	Zinc finger, TFIIB-type	IPR013137
540	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding	IPR013155
541	Chromosomal replication initiator, DnaA C-terminal	IPR013159
542	Translation elongation factor, KOW-like	IPR013185
543	Global transcriptional regulator CodY, C-terminal	IPR013198
544	Cathepsin propeptide inhibitor domain (I29)	IPR013201
545	Leucine-rich repeat-containing N-terminal, plant-type	IPR013210
546	Mur ligase, central	IPR013221
547	Ribonuclease B, N-terminal OB domain	IPR013223
548	Chromosomal replication initiator protein DnaA, ATPAse domain	IPR013317
549	DNA topoisomerase, type IA, central	IPR013497
550	Exonuclease, RNase T/DNA polymerase III	IPR013520
551	ABC-2 type transporter, transmembrane domain	IPR013525
552	DNA recombination and repair protein Rad51-like, C-terminal	IPR013632
553	1-deoxy-D-xylulose 5-phosphate reductoisomerase, C-terminal	IPR013644
554	ATP-grasp fold, succinyl-CoA synthetase-type	IPR013650
555	ATP-grasp fold, RimK-type	IPR013651
556	Shikimate dehydrogenase substrate binding, N-terminal	IPR013708
557	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	IPR013709
558	Thioredoxin domain	IPR013766
559	PAS fold	IPR013767
560	Indole-3-glycerol phosphate synthase domain	IPR013798
561	Small ribosomal subunit protein uS5, N-terminal	IPR013810
562	Lipase	IPR013818
563	Signal recognition particle SRP54, helical bundle	IPR013822
564	NAD-dependent DNA ligase, N-terminal	IPR013840
565	Small ribosomal subunit protein eS4, N-terminal	IPR013843
566	Methylthiotransferase, N-terminal	IPR013848
567	DNA helicase, Holliday junction RuvA type, domain I, bacterial	IPR013849
568	Aminomethyltransferase, C-terminal domain	IPR013977
569	Helicase superfamily 1/2, ATP-binding domain	IPR014001
570	Helicase superfamily 1/2, ATP-binding domain, DinG/Rad3-type	IPR014013
571	RNA helicase, DEAD-box type, Q motif	IPR014014
